1729,375,4,1,1,70,1,0
2291,-50,4,1,1,70,0,0
27229,-100,4,1,1,70,0,0
27791,-50,4,1,1,70,0,0
42041,-100,4,1,1,70,0,0
42604,-33.333333333333336,4,1,1,70,0,0
44103,-50,4,1,1,70,0,0
45041,-33.333333333333336,4,1,1,70,0,0
48041,-50,4,1,1,70,0,0
51229,-100,4,1,1,70,0,0
53104,-50,4,1,1,70,0,0
53479,-100,4,1,1,70,0,0
53854,-50,4,1,1,70,0,0
55728,-100,4,1,1,70,0,0
57229,-50,4,1,1,70,0,0
57979,-100,4,1,1,70,0,0
58729,-50,4,1,1,70,0,0
59479,-100,4,1,1,70,0,0
59853,-50,4,1,1,70,0,0
63229,-100,4,1,1,70,0,0
64729,-50,4,1,1,70,0,0
65479,-100,4,1,1,70,0,0
65854,-50,4,1,1,70,0,0
67728,-100,4,1,1,70,0,0
68104,-50,4,1,1,70,0,0
69979,-100,4,1,1,70,0,0
70354,-50,4,1,1,70,0,0
71479,-100,4,1,1,70,0,0
72041,-33.333333333333336,4,1,1,70,0,0
72604,-50,4,1,1,70,0,0
73729,-33.333333333333336,4,1,1,70,0,0
75229,-100,4,1,1,70,0,1
75604,-50,4,1,1,70,0,1
77479,-100,4,1,1,70,0,1
78229,-50,4,1,1,70,0,1
80103,-100,4,1,1,70,0,1
81041,-50,4,1,1,70,0,1
81604,-100,4,1,1,70,0,1
82541,-33.333333333333336,4,1,1,70,0,1
85353,-50,4,1,1,70,0,1
87979,-1000,4,1,1,70,0,1
88353,-100,4,1,1,70,0,1
88729,-50,4,1,1,70,0,1
89479,-1000,4,1,1,70,0,1
89854,-50,4,1,1,70,0,1
90229,-100,4,1,1,70,0,1
90791,-50,4,1,1,70,0,1
92479,-100,4,1,1,70,0,1
93229,-50,4,1,1,70,0,1
95479,-100,4,1,1,70,0,1
96791,-50,4,1,1,70,0,1
98104,-33.333333333333336,4,1,1,70,0,1
99229,-50,4,1,1,70,0,0
100729,-100,4,1,1,70,0,0
101104,-50,4,1,1,70,0,0
101479,-100,4,1,1,70,0,0
102229,-50,4,1,1,70,0,0
102979,-100,4,1,1,70,0,0
104104,-50,4,1,1,70,0,0
104479,-100,4,1,1,70,0,0
104854,-50,4,1,1,70,0,0
105416,-100,4,1,1,70,0,0
105979,-50,4,1,1,70,0,0
106354,-100,4,1,1,70,0,0
107104,-50,4,1,1,70,0,0
108229,-100,4,1,1,70,0,0
111228,-50,4,1,1,70,0,0
113385,-20,4,1,1,70,0,0
113854,-50,4,1,1,70,0,0
114979,-100,4,1,1,70,0,0
115541,-50,4,1,1,70,0,0
116385,-20,4,1,1,70,0,0
117229,-50,4,1,1,70,0,0
117979,-100,4,1,1,70,0,0
118541,-50,4,1,1,70,0,0
119385,-20,4,1,1,70,0,0
120979,-50,4,1,1,70,0,0
124916,-100,4,1,1,70,0,0
125478,-50,4,1,1,70,0,0
128666,-100,4,1,1,70,0,0
129041,-50,4,1,1,70,0,0
131479,-100,4,1,1,70,0,0
132041,-50,4,1,1,70,0,0
133729,-100,4,1,1,70,0,0
134103,-50,4,1,1,70,0,0
137479,-100,4,1,1,70,0,0
138229,-50,4,1,1,70,0,0
